Question,Answer
"What disease causes Nausea, Bloody stools, Dehydration, Muscle aches, Body aches, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Sores in mouth, Irritability, Red spots, Blisters, Fatigue, Cough, Sore muscles, Headache, General discomfort, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes Abdominal pain or cramps, Diarrhea, Stomach cramps, Loss of appetite, Muscle aches, Feverish?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Sores in mouth, Rash on hands and feet, Irritability, Sore throat, Mouth sores, Red spots, Blisters, Headache, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Stomach cramps, Muscle aches, Nausea, Fatigue, Loss of appetite, Dehydration, Chills, Sweating, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes High fever, Runny nose, Rash, Irritability, Swollen lymph nodes, Vomiting, Rashes, Chills?",Roseola
"What disease causes Fever, Rash on hands and feet, Sore throat, Mouth sores, Blisters, Sore muscles, Headache, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Fever, Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Fatigue, Muscle aches, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Muscle aches, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Sweating, Rashes, General discomfort?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Low-grade fever, Muscle aches, Fatigue, Loss of appetite, Chills, Rashes, General discomfort?",Norovirus Infection
"What disease causes Nasal discharge, Sore, watery eyes, Cyanosis (blue lips, tongue, nailbeds), Exhaustion, Low-grade fever, Severe coughing fits, Vomiting after coughing?",Pertussis (Whooping Cough)
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Stomach cramps, Headache, Dehydration, Body aches, Feverish, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Chills, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Nausea, Loss of appetite, Dehydration, Rashes, General discomfort?",Norovirus Infection
"What disease causes Nausea, Vomiting, Headache, Fatigue, Body aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Sores in mouth, Rash on hands and feet, Irritability, Headache, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes High fever, Rash, Irritability, Headache, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes?",Roseola
"What disease causes Low-grade fever, Nausea, Abdominal pain, Loss of appetite, Sweating, Rashes, Irritability?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Nausea, Bloody stools, Stomach cramps, Fatigue, Dehydration, Muscle aches, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Sores in mouth, Loss of appetite, Irritability, Blisters, Fatigue, Sore muscles, Headache, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Runny nose, Swollen lymph nodes, Cough, Red eyes, Diarrhea, Vomiting, Chills?",Roseola
"What disease causes Runny nose, Irritability, Swollen lymph nodes, Sore throat, Cough, Red eyes, Body aches, Feverish?",Roseola
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Body aches, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Sores in mouth, Rash on hands and feet, Loss of appetite, Irritability, Sore throat, Mouth sores, Red spots, Cough, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Vomiting, Low-grade fever, Nausea, Loss of appetite, Dehydration, Fever?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Headache, Fatigue, Abdominal pain, Sweating, Fever, Irritability?",Norovirus Infection
"What disease causes High fever, Runny nose, Rash, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Vomiting, Loss of appetite, Abdominal pain, Body aches?",Roseola
"What disease causes Fever, Loss of appetite, Muscle aches, Rashes, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Sore throat, Mouth sores, Red spots, Fatigue, Sore muscles?","Hand, Foot, and Mouth Disease"
"What disease causes High fever, Runny nose, Rash, Irritability, Swollen lymph nodes, Cough, Red eyes, Diarrhea, Vomiting, Abdominal pain, Rashes, Chills?",Roseola
"What disease causes Irritability, Fatigue, Cough, Rashes, Chills?",Roseola
"What disease causes Stomach cramps, Low-grade fever, Muscle aches, Abdominal pain, Loss of appetite, Sweating, Rashes, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Whooping cough, Sneezing, Fever, Severe coughing fits, Fatigue?",Pertussis (Whooping Cough)
"What disease causes Rash, Irritability, Swollen lymph nodes, Headache, Cough, Diarrhea, Loss of appetite, Abdominal pain, Chills?",Roseola
"What disease causes High fever, Runny nose, Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Vomiting, Abdominal pain, Body aches?",Roseola
"What disease causes Stomach cramps, Low-grade fever, Muscle aches, Nausea, Fatigue, Loss of appetite, Dehydration, Chills, Body aches, General discomfort, Irritability?",Norovirus Infection
"What disease causes Runny nose, Rash, Sore throat, Headache, Red eyes, Diarrhea, Feverish?",Roseola
"What disease causes Stomach cramps, Muscle aches, Headache, Abdominal pain, Dehydration, Rashes, General discomfort?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Muscle aches, Abdominal pain, Dehydration, Chills, Sweating?",Norovirus Infection
"What disease causes High fever, Runny nose, Rash, Irritability, Fatigue, Abdominal pain, Body aches, Chills, Feverish?",Roseola
"What disease causes Loss of appetite, Sore throat, Mouth sores, Cough, Sore muscles, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Vomiting, Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Chills, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Irritability, Fatigue, Vomiting, Body aches?",Roseola
"What disease causes Fever, Sores in mouth, Mouth sores, Red spots, Blisters, Fatigue, Headache, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes Stomach cramps, Muscle aches, Headache, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Muscle aches, Headache, Fatigue, Abdominal pain, Chills, Body aches, Rashes, Fever?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Nausea, Headache, Dehydration, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Headache, Sweating, Irritability?",Norovirus Infection
"What disease causes High fever, Rash, Irritability, Fatigue, Sore throat, Headache, Diarrhea, Loss of appetite, Chills?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Muscle aches, Feverish, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Runny nose, Rash, Fatigue, Swollen lymph nodes, Sore throat, Headache, Red eyes, Abdominal pain, Rashes, Chills?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Stomach cramps, Headache, Body aches, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Headache, Abdominal pain, Chills, Fever?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Stomach cramps, Fatigue, Muscle aches, Body aches, Feverish, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Red lines in body folds, Sore and red throat with patches, Difficulty swallowing, Tender, enlarged neck glands, Nausea or vomiting, Abdominal pain?",Scarlet Fever
"What disease causes Vomiting, Bloody stools, Headache, Dehydration, Muscle aches, Feverish, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Vomiting, Loss of appetite, Body aches, Chills?",Roseola
"What disease causes Rash, Swollen lymph nodes, Headache, Cough, Red eyes, Vomiting, Loss of appetite, Abdominal pain, Feverish?",Roseola
"What disease causes High fever, Runny nose, Rash, Irritability, Abdominal pain?",Roseola
"What disease causes Diarrhea, Vomiting, Stomach cramps, Muscle aches, Headache, Loss of appetite, Chills?",Norovirus Infection
"What disease causes Irritability, Fatigue, Sore throat, Headache, Vomiting, Loss of appetite, Body aches, Feverish?",Roseola
"What disease causes Diarrhea, Stomach cramps, Headache, Chills, Body aches?",Norovirus Infection
"What disease causes Rash, Irritability, Headache, Red eyes, Abdominal pain, Chills?",Roseola
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Stomach cramps, Headache, Fatigue, Loss of appetite, Body aches, Feverish, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Low-grade fever, Dehydration, Sweating, Body aches?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Headache, Dehydration, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Burning sensation in the eyes, Light sensitivity (photophobia), Swollen eyelids (blepharitis), Mild eye pain or discomfort?",Conjunctivitis (Pink Eye)
"What disease causes Low-grade fever, Muscle aches, Headache, Abdominal pain, Loss of appetite, General discomfort?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Loss of appetite, Sweating, General discomfort?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Low-grade fever, Nausea?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Fatigue, Dehydration, Body aches, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Rash on hands and feet, Loss of appetite, Irritability, Mouth sores, Red spots, Fatigue, Cough, Headache, General discomfort, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes Vomiting, Muscle aches, Nausea, Fatigue, Loss of appetite, Chills?",Norovirus Infection
"What disease causes High fever, Runny nose, Irritability, Fatigue, Swollen lymph nodes, Cough, Rashes?",Roseola
"What disease causes Vomiting, Stomach cramps, Nausea, Headache, Abdominal pain, Sweating, General discomfort, Fever?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Vomiting, Dehydration, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Stomach cramps, Muscle aches, Abdominal pain, Loss of appetite, Dehydration, Sweating, Body aches, Rashes?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Stomach cramps, Fatigue, Muscle aches, Body aches, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Stomach cramps, Muscle aches, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Chills, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Muscle aches, Nausea, Dehydration, Chills, Sweating?",Norovirus Infection
"What disease causes Stomach cramps, Muscle aches, Headache, Dehydration, Chills, Sweating, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Fever, Vomiting, Bloody stools, Stomach cramps, Headache, Fatigue, Muscle aches, Body aches, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Nausea, Vomiting, Bloody stools, Stomach cramps, Dehydration, Muscle aches, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Headache, Dehydration, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Nausea, Vomiting, Fatigue, Body aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Muscle aches, Headache, Fatigue, Chills, Sweating, Body aches, Rashes, Fever?",Norovirus Infection
"What disease causes Vomiting, Muscle aches, Nausea, Headache, Fatigue, Chills, Irritability?",Norovirus Infection
"What disease causes Fever, Rash on hands and feet, Irritability, Sore throat, Blisters, Fatigue?","Hand, Foot, and Mouth Disease"
"What disease causes Fever, Sore throat, Red lines in body folds, Strawberry tongue, Fever (100.4�F / 38.0�C or higher), Tender, enlarged neck glands, Nausea or vomiting, Headache and body aches?",Scarlet Fever
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Abdominal pain, Body aches, Rashes, Fever?",Norovirus Infection
"What disease causes Rash on hands and feet, Irritability, Mouth sores, Red spots, Blisters, Cough, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Low-grade fever, Nausea, Fatigue, Dehydration, Body aches, Rashes, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Vomiting, Bloody stools, Headache, Muscle aches, Body aches, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Headache, Loss of appetite, Dehydration, Body aches, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Rash, Irritability, Fatigue, Headache, Cough, Red eyes, Diarrhea, Body aches?",Roseola
"What disease causes Abdominal pain or cramps, Nausea, Vomiting, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Rash, Headache, Cough, Red eyes, Body aches, Rashes?",Roseola
"What disease causes Runny nose, Rash, Loss of appetite, Abdominal pain, Body aches, Chills, Feverish?",Roseola
"What disease causes Rash, Irritability, Fatigue, Headache, Diarrhea, Abdominal pain, Rashes, Chills, Feverish?",Roseola
"What disease causes Fever, Nausea, Vomiting, Bloody stools, Stomach cramps, Dehydration, Loss of appetite, Feverish, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Fatigue, Cough, Red eyes, Diarrhea, Loss of appetite, Body aches, Chills?",Roseola
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Headache, Fatigue, Abdominal pain, Sweating, Body aches, Fever?",Norovirus Infection
"What disease causes Irritability, Mouth sores, Red spots, Fatigue, Cough, Sore muscles, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Loss of appetite, Muscle aches, Body aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Bloody stools, Headache, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Diarrhea, Headache, Loss of appetite, Muscle aches, Body aches, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Irritability, Sore throat, Headache, Red eyes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Feverish?",Roseola
"What disease causes Rash, Irritability, Fatigue, Cough, Red eyes, Diarrhea, Abdominal pain, Body aches, Chills?",Roseola
"What disease causes Diarrhea, Stomach cramps, Muscle aches, Nausea, Loss of appetite, Dehydration, Chills, Sweating, Fever, Irritability?",Norovirus Infection
"What disease causes Fever, Nausea, Stomach cramps, Headache, Dehydration, Loss of appetite, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Low-grade fever, Headache, Fatigue, Chills, Sweating, Body aches, Rashes, General discomfort?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Loss of appetite, Sweating, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Rash, Fatigue, Swollen lymph nodes, Headache, Red eyes, Vomiting, Loss of appetite, Body aches, Chills?",Roseola
"What disease causes Rash on hands and feet, Loss of appetite, Red spots, Blisters, Fatigue, Cough, Headache, General discomfort, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Fever, Abdominal pain or cramps, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Rash, Sore throat, Cough, Vomiting, Loss of appetite, Body aches, Chills, Feverish?",Roseola
"What disease causes Vomiting, Fatigue, Sweating, Body aches, Rashes?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Loss of appetite, Chills, Body aches?",Norovirus Infection
"What disease causes Fever, Rash on hands and feet, Loss of appetite, Mouth sores, Fatigue, Cough?","Hand, Foot, and Mouth Disease"
"What disease causes Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Loss of appetite, Body aches?",Roseola
"What disease causes Fever, Sores in mouth, Rash on hands and feet, Loss of appetite, Irritability, Sore throat, Mouth sores, Red spots, Fatigue, Cough, Headache, General discomfort?","Hand, Foot, and Mouth Disease"
"What disease causes Rash on face, Runny or stuffy nose, Headache, Swollen joints, Myalgias?",Fifth Disease (Erythema Infectiosum)
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Vomiting, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Low-grade fever, Muscle aches, Nausea, Fatigue, Abdominal pain, Loss of appetite, Chills, Sweating, Body aches, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Diarrhea, Stomach cramps, Muscle aches, Loss of appetite, Dehydration, General discomfort, Irritability?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Bloody stools, Stomach cramps, Headache, Dehydration, Body aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Irritability, Fatigue, Swollen lymph nodes, Headache, Cough, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Rashes, Feverish?",Roseola
"What disease causes Muscle aches, Headache, Fatigue, Rashes, Irritability?",Norovirus Infection
"What disease causes Runny nose, Fatigue, Cough, Diarrhea, Rashes, Chills?",Roseola
"What disease causes Diarrhea, Muscle aches, Abdominal pain, Loss of appetite, Dehydration, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Abdominal pain, Chills, Body aches, Rashes, General discomfort?",Norovirus Infection
"What disease causes Whooping cough, Nasal discharge, Cyanosis (blue lips, tongue, nailbeds), Exhaustion, Sneezing, Low-grade fever, Runny nose, Fatigue?",Pertussis (Whooping Cough)
"What disease causes Fever, Vomiting, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Stomach cramps, Fatigue, Abdominal pain, Loss of appetite, Sweating, Body aches, General discomfort?",Norovirus Infection
"What disease causes Fever, Diarrhea, Vomiting, Bloody stools, Stomach cramps, Loss of appetite, Muscle aches, Feverish, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Vomiting, Fatigue, Dehydration, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Vomiting, Bloody stools, Stomach cramps, Dehydration, Loss of appetite, Muscle aches, Feverish, Rashes, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Irritability, Mouth sores, Red spots, Fatigue, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes High fever, Rash, Swollen lymph nodes, Diarrhea, Abdominal pain, Body aches, Feverish?",Roseola
"What disease causes Fever, Diarrhea, Vomiting, Body aches, Feverish, Rashes, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Stuffy, runny nose, Scratchy, tickly throat, Sneezing, Watering eyes, Sore throat, Achy muscles and bones, Headache?",Common Cold
"What disease causes Fever, Abdominal pain or cramps, Nausea, Bloody stools, Stomach cramps, Dehydration, Loss of appetite, Body aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Diarrhea, Vomiting, Bloody stools, Stomach cramps, Dehydration, Loss of appetite, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Stomach cramps, Muscle aches, Nausea, Abdominal pain, Loss of appetite, Dehydration, Chills, Fever, Irritability?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Nausea, Loss of appetite, Dehydration, Chills, Rashes, Irritability?",Norovirus Infection
"What disease causes High fever, Runny nose, Rash, Irritability, Swollen lymph nodes, Cough, Red eyes, Abdominal pain, Body aches, Chills, Feverish?",Roseola
"What disease causes Fever, Sores in mouth, Irritability, Sore throat, Mouth sores, Blisters, Cough, Sore muscles, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Rash on hands and feet, Loss of appetite, Irritability, Mouth sores, Blisters, Cough, Headache, General discomfort?","Hand, Foot, and Mouth Disease"
"What disease causes Rash on hands and feet, Loss of appetite, Sore throat, Mouth sores, Red spots, Blisters, Fatigue, Cough, Headache, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Runny nose, Irritability, Fatigue, Cough, Red eyes, Diarrhea, Rashes, Chills?",Roseola
"What disease causes Rash, Irritability, Fatigue, Sore throat, Cough, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Rashes, Chills?",Roseola
"What disease causes High fever, Runny nose, Rash, Irritability, Headache, Loss of appetite, Rashes, Chills, Feverish?",Roseola
"What disease causes Vomiting, Low-grade fever, Loss of appetite, Dehydration, Sweating, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Fatigue, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Rashes, Irritability?",Norovirus Infection
"What disease causes Rash, Swollen lymph nodes, Cough, Vomiting, Rashes, Chills, Feverish?",Roseola
"What disease causes High fever, Runny nose, Fatigue, Swollen lymph nodes, Headache, Diarrhea, Body aches?",Roseola
"What disease causes Diarrhea, Vomiting, Stomach cramps, Headache, Fatigue, Abdominal pain, Dehydration, Chills, Sweating, Rashes, General discomfort?",Norovirus Infection
"What disease causes High fever, Runny nose, Irritability, Fatigue, Cough, Red eyes, Loss of appetite, Body aches?",Roseola
"What disease causes Diarrhea, Low-grade fever, Nausea, Abdominal pain, Dehydration, Sweating, Body aches, Fever?",Norovirus Infection
"What disease causes Swollen, painful salivary glands, Pain while chewing or swallowing, Fever, Muscle aches, Tiredness, Trouble chewing?",Mumps
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Nausea, Stomach cramps, Fatigue, Dehydration, Muscle aches, Body aches, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Abdominal pain, Loss of appetite, Chills, Sweating, Body aches, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Sores in mouth, Loss of appetite, Irritability, Red spots, Cough, Sore muscles, General discomfort, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Headache, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Body aches, Chills?",Roseola
"What disease causes Diarrhea, Nausea, Loss of appetite, Rashes?",Norovirus Infection
"What disease causes Headache, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Body aches, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Tickling sensation in hair, Difficulty sleeping, Infection from scratched skin, Tickling feeling, Irritability, Trouble sleeping?",Head Lice Infestation
"What disease causes Fever, Rash on hands and feet, Loss of appetite, Red spots, Blisters, Fatigue, Sore muscles, Headache, Mild fever?","Hand, Foot, and Mouth Disease"
"What disease causes High fever, Red eyes, Abdominal pain, Body aches, Rashes, Chills, Feverish?",Roseola
"What disease causes Abdominal pain or cramps, Nausea, Headache, Fatigue, Dehydration, Muscle aches, Feverish, Rashes, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Irritability, Fatigue, Sore throat, Headache, Red eyes, Diarrhea, Vomiting, Abdominal pain, Feverish?",Roseola
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Nausea, Chills, Sweating, Body aches, Rashes, General discomfort?",Norovirus Infection
"What disease causes Sores in mouth, Mouth sores, Red spots, Headache, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Abdominal pain or cramps, Nausea, Vomiting, Stomach cramps, Fatigue, Dehydration, Feverish?",Shigellosis (Bacillary Dysentery)
"What disease causes Nausea, Headache, Loss of appetite, Sweating, General discomfort?",Norovirus Infection
"What disease causes Swollen lymph nodes, Sore throat, Cough, Red eyes, Vomiting, Abdominal pain?",Roseola
"What disease causes Fever, Diarrhea, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Stomach cramps, Headache, Fatigue, Muscle aches, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Fatigue, Sore throat, Headache, Red eyes, Loss of appetite, Body aches, Rashes, Chills?",Roseola
"What disease causes Runny nose, Rash, Irritability, Fatigue, Red eyes, Loss of appetite, Chills, Feverish?",Roseola
"What disease causes High fever, Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Loss of appetite, Abdominal pain?",Roseola
"What disease causes Rash, Swollen lymph nodes, Sore throat, Cough, Red eyes, Diarrhea, Loss of appetite, Body aches, Rashes, Chills, Feverish?",Roseola
"What disease causes Fever, Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Fatigue, Dehydration, Muscle aches, Body aches, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Muscle aches, Nausea, Headache, Fatigue, Sweating, General discomfort, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Low-grade fever, Muscle aches, Nausea, Headache, Abdominal pain, Dehydration, Sweating, Body aches, Fever?",Norovirus Infection
"What disease causes Runny nose, Rash, Irritability, Swollen lymph nodes, Headache, Red eyes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Feverish?",Roseola
"What disease causes Diarrhea, Stomach cramps, Nausea, Headache, Fatigue, Abdominal pain, Dehydration, Chills, General discomfort?",Norovirus Infection
"What disease causes Fever, Rash on hands and feet, Irritability, Sore throat, Red spots, Blisters, Fatigue, Headache, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes High fever, Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Loss of appetite, Abdominal pain, Body aches, Rashes, Feverish?",Roseola
"What disease causes Fever, Sore throat, Red spots, Blisters, Fatigue, Sore muscles, Headache, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes High fever, Rash, Swollen lymph nodes, Sore throat, Diarrhea, Vomiting, Chills, Feverish?",Roseola
"What disease causes Diarrhea, Stomach cramps, Headache, Fatigue, Loss of appetite, Body aches, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Fever, Diarrhea, Nausea, Vomiting, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Rash, Sore throat, Cough, Red eyes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes, Chills?",Roseola
"What disease causes High fever, Rash, Irritability, Fatigue, Headache, Cough, Loss of appetite, Abdominal pain, Rashes, Chills, Feverish?",Roseola
